currcrisisvar1,currcrisisvar2,currcrisisvar3,currcrisisvar4,currcrisisvar5,currcrisisvarL0,currcrisisvarL1,currcrisisvarL2,currcrisisvarL3,currcrisisvarL4,currcrisisvarL5,country,isocode,imfcode,date,observation,high,groupid,id,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,names,crisis,crisisd2008,crisis2008var5,crisis2008var4,crisis2008var3,crisis2008var2,crisis2008var1,crisis2008varL0,crisis2008varL1,crisis2008varL2,crisis2008varL3,crisis2008varL4,crisis2008varL5,bankvar1,bankvar2,bankvar3,bankvar4,bankvar5,bankvarL0,bankvarL1,bankvarL2,bankvarL3,bankvarL4,bankvarL5,defaultvarL0,defaultvarL1,defaultvarL2,defaultvarL3,defaultvarL4,defaultvarL5,defaultvar1,defaultvar2,defaultvar3,defaultvar4,defaultvar5
0,0,1,0,0,0,0,0,0,0,0,Australia,AUS,193,1973,191,1,High Income,1,1.138597,17.03955,102.3452,.5575788,7.632635,-2.438096,,27.36147,,-8.587046,log GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,Australia,AUS,193,1974,192,1,High Income,1,-.2214977,14.25609,102.0213,-3.182047,4.040891,.8898719,,22.36639,15.29547,-5.320155,Credit/GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,Australia,AUS,193,1975,193,1,High Income,1,-.2447695,11.05254,101.8592,-1.081156,2.705906,.7606139,,23.63685,15.17587,-4.933793,External Leverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,Australia,AUS,193,1976,194,1,High Income,1,.5533054,8.848999,102.1928,-1.836733,2.492023,8.661647,,22.98235,13.35083,-4.285545,Current Account Surplus/GDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,Australia,AUS,193,1977,195,1,High Income,1,-1.200943,6.804478,102.7684,-2.779594,1.649513,.6036313,,23.63891,12.31715,.5395737,Foreign Exchange Reserves/GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,Australia,AUS,193,1978,196,1,High Income,1,.1405709,3.569496,103.4089,-3.877562,1.446849,-3.053856,,24.73289,7.950652,-.668652,Real Exchange Rate (log dev. from trend),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,Australia,AUS,193,1979,197,1,High Income,1,.3994587,1.045116,103.4709,-2.019439,.867555,-2.142545,,20.87219,9.079362,-1.178711,External Short-Term Debt/GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,0,Australia,AUS,193,1980,198,1,High Income,1,.9635709,-2.61874,103.2837,-2.949598,.9049611,-10.82638,,18.67407,10.18628,.8489076,Public Debt/GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,1,Australia,AUS,193,1981,199,1,High Income,1,1.320096,-5.979483,103.5497,-4.820631,.7442884,-10.30515,,15.79503,9.614354,1.73518,Inflation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,Australia,AUS,193,1982,200,1,High Income,1,-3.92211,-8.037832,104.9063,-4.362599,3.22144,-2.159121,,14.69227,11.22891,4.497565,Real Interest Rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
